Name: Plains Road, Instruction: Head east on Plains Road, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 188.9 meters, Time: 136.0 seconds
Name: -, Instruction: Keep right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 76.7 meters, Time: 55.2 seconds
Name: Fairside Avenue, Instruction: Turn right onto Fairside Avenue, Distance: 76.8 meters, Time: 55.3 seconds
Name: Virginia Avenue, Instruction: Turn left onto Virginia Avenue, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Keep right, Distance: 93.3 meters, Time: 67.1 seconds
Name: -, Instruction: Keep right, Distance: 8.7 meters, Time: 6.3 seconds
Name: Barker Avenue, Instruction: Turn left onto Barker Avenue, Distance: 76.9 meters, Time: 55.4 seconds
Name: Crestland Avenue, Instruction: Turn right onto Crestland Avenue, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 75.4 meters, Time: 54.3 seconds
Name: -, Instruction: Keep right, Distance: 135.7 meters, Time: 97.7 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Keep right, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Keep right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn slight right, Distance: 161.9 meters, Time: 116.5 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Keep right, Distance: 81.2 meters, Time: 58.5 seconds
Name: -, Instruction: Turn slight left, Distance: 72.0 meters, Time: 51.9 seconds
Name: -, Instruction: Turn left, Distance: 349.5 meters, Time: 251.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
