Name: Timmer Road, Instruction: Head south on Timmer Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: Golden Pond Road, Instruction: Turn left onto Golden Pond Road, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 162.0 meters, Time: 116.6 seconds
Name: Horsefields Drive, Instruction: Turn left onto Horsefields Drive, Distance: 160.1 meters, Time: 115.3 seconds
Name: Murphys Shared Path, Instruction: Turn left onto Murphys Shared Path, Distance: 207.5 meters, Time: 149.4 seconds
Name: Murphys Shared Path, Instruction: Continue straight onto Murphys Shared Path, Distance: 37.0 meters, Time: 26.6 seconds
Name: Murphys Road, Instruction: Turn left onto Murphys Road, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 133.7 meters, Time: 96.2 seconds
Name: -, Instruction: Turn right, Distance: 32.3 meters, Time: 23.3 seconds
Name: Cranford Drive, Instruction: Turn left onto Cranford Drive, Distance: 57.1 meters, Time: 41.1 seconds
Name: Castlederg Drive, Instruction: Turn right onto Castlederg Drive, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 135.1 meters, Time: 97.2 seconds
Name: -, Instruction: Turn slight left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Keep left, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn slight left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Hughs Way, Instruction: Turn right onto Hughs Way, Distance: 577.8 meters, Time: 416.0 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: Hikuawa Road, Instruction: Turn left onto Hikuawa Road, Distance: 54.6 meters, Time: 39.3 seconds
Name: Broadhurst Drive, Instruction: Enter the roundabout and take the 1st exit onto Broadhurst Drive, Distance: 501.9 meters, Time: 361.4 seconds
Name: Quattro Avenue, Instruction: Turn right onto Quattro Avenue, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at Quattro Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
