Name: Rakaia Rise, Instruction: Head south on Rakaia Rise, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 81.1 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: Rotoma Rise, Instruction: Turn right onto Rotoma Rise, Distance: 118.8 meters, Time: 85.5 seconds
Name: Charntay Avenue, Instruction: Turn left onto Charntay Avenue, Distance: 501.6 meters, Time: 361.2 seconds
Name: Diorella Drive, Instruction: Turn right onto Diorella Drive, Distance: 252.1 meters, Time: 181.5 seconds
Name: -, Instruction: Turn left, Distance: 610.7 meters, Time: 439.7 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.2 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Keep right, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn right, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Turn right, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn slight right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
