Name: Waterfront Recreational Trail, Instruction: Head northwest on Waterfront Recreational Trail, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 150.5 meters, Time: 108.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 360.2 meters, Time: 259.3 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 133.8 meters, Time: 96.3 seconds
Name: -, Instruction: Keep right, Distance: 196.8 meters, Time: 141.7 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: Sumach Street, Instruction: Turn left onto Sumach Street, Distance: 413.6 meters, Time: 297.8 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
