Name: Thorncliffe Park Drive, Instruction: Head southeast on Thorncliffe Park Drive, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn left, Distance: 596.1 meters, Time: 429.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn left, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: William Morgan Drive, Instruction: Turn right onto William Morgan Drive, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 98.7 meters, Time: 71.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
