Name: Mühlgasse, Instruction: Head west on Mühlgasse, Distance: 14.3 meters, Time: 10.3 seconds
Name: Angerlweg, Instruction: Turn left onto Angerlweg, Distance: 334.2 meters, Time: 240.6 seconds
Name: Angerlweg, Instruction: Continue straight onto Angerlweg, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 35.8 meters, Time: 25.8 seconds
Name: Mühlfeldweg, Instruction: Continue straight onto Mühlfeldweg, Distance: 274.7 meters, Time: 197.8 seconds
Name: Erdinger Weg, Instruction: Turn left onto Erdinger Weg, Distance: 43.2 meters, Time: 31.1 seconds
Name: Erdinger Weg, Instruction: Turn right onto Erdinger Weg, Distance: 66.3 meters, Time: 47.7 seconds
Name: Am Mühlbach, Instruction: Turn left onto Am Mühlbach, Distance: 16.3 meters, Time: 11.8 seconds
Name: Erdinger Platz, Instruction: Turn right onto Erdinger Platz, Distance: 38.0 meters, Time: 27.4 seconds
Name: Erdinger Platz, Instruction: Turn left onto Erdinger Platz, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: Weidenweg, Instruction: Turn right onto Weidenweg, Distance: 59.1 meters, Time: 42.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 261.7 meters, Time: 188.4 seconds
Name: -, Instruction: Continue straight, Distance: 611.4 meters, Time: 440.2 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: B 471, Instruction: Turn right onto B 471, Distance: 429.9 meters, Time: 309.5 seconds
Name: -, Instruction: Arrive at B 471, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
