Name: Pōnui Place, Instruction: Head northeast on Pōnui Place, Distance: 83.7 meters, Time: 60.3 seconds
Name: Maxwelton Drive, Instruction: Turn left onto Maxwelton Drive, Distance: 276.7 meters, Time: 199.2 seconds
Name: Mayfair Crescent, Instruction: Turn left onto Mayfair Crescent, Distance: 113.3 meters, Time: 81.5 seconds
Name: -, Instruction: Turn right, Distance: 129.5 meters, Time: 93.3 seconds
Name: Galaxy Drive, Instruction: Turn left onto Galaxy Drive, Distance: 203.3 meters, Time: 146.4 seconds
Name: Matipo Road, Instruction: Turn right onto Matipo Road, Distance: 216.1 meters, Time: 155.6 seconds
Name: East Coast Road, 21, Instruction: Turn left onto East Coast Road, 21, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Keep right, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn left, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.7 seconds
Name: Lavery Place, Instruction: Turn slight right onto Lavery Place, Distance: 314.9 meters, Time: 226.7 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Keep left, Distance: 134.6 meters, Time: 96.9 seconds
Name: -, Instruction: Turn left, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn left, Distance: 257.5 meters, Time: 185.4 seconds
Name: -, Instruction: Turn slight left, Distance: 83.0 meters, Time: 59.8 seconds
Name: -, Instruction: Keep right, Distance: 78.4 meters, Time: 56.4 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
