Name: Rue Rampon, Instruction: Head east on Rue Rampon, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Keep right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Keep left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn slight left, Distance: 245.8 meters, Time: 177.0 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn slight left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn slight left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue du Faubourg du Temple, Instruction: Turn right onto Rue du Faubourg du Temple, Distance: 120.8 meters, Time: 86.9 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Keep right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 139.3 meters, Time: 100.3 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Keep right, Distance: 315.5 meters, Time: 227.2 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Keep right, Distance: 207.3 meters, Time: 149.3 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.4 seconds
Name: Rue Rampal, Instruction: Keep right onto Rue Rampal, Distance: 79.9 meters, Time: 57.6 seconds
Name: Rue du Général Lasalle, Instruction: Turn right onto Rue du Général Lasalle, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 128.4 meters, Time: 92.5 seconds
Name: -, Instruction: Turn left, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn slight left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Turn left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 165.5 meters, Time: 119.1 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn slight right, Distance: 60.5 meters, Time: 43.6 seconds
Name: -, Instruction: Keep right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
