Name: Parramatta Valley Cycleway, Instruction: Head west on Parramatta Valley Cycleway, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 122.9 meters, Time: 88.5 seconds
Name: Meadow Crescent, Instruction: Turn left onto Meadow Crescent, Distance: 15.1 meters, Time: 10.9 seconds
Name: Bank Street, Instruction: Turn right onto Bank Street, Distance: 272.4 meters, Time: 196.1 seconds
Name: Bank Street, Instruction: Keep left onto Bank Street, Distance: 143.7 meters, Time: 103.5 seconds
Name: Bank Street, Instruction: Enter the roundabout and take the 3rd exit onto Bank Street, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: Bank Street, Instruction: Turn left onto Bank Street, Distance: 3.5 meters, Time: 2.5 seconds
Name: Bank Street, Instruction: Keep right onto Bank Street, Distance: 134.7 meters, Time: 97.0 seconds
Name: Bank Street, Instruction: Turn right onto Bank Street, Distance: 397.3 meters, Time: 286.1 seconds
Name: Maxim Street, Instruction: Turn slight right onto Maxim Street, Distance: 371.0 meters, Time: 267.1 seconds
Name: Victoria Road, Instruction: Turn left onto Victoria Road, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 153.1 meters, Time: 110.2 seconds
Name: -, Instruction: Turn left, Distance: 236.3 meters, Time: 170.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
