Name: شارع علي امين, Instruction: Head west on شارع علي امين, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 40.2 meters, Time: 28.9 seconds
Name: شارع الخليفه القاهر, Instruction: Turn left onto شارع الخليفه القاهر, Distance: 603.8 meters, Time: 434.7 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn left, Distance: 149.6 meters, Time: 107.7 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
