Name: Harry Gwala Street, Instruction: Head south on Harry Gwala Street, Distance: 14.1 meters, Time: 10.2 seconds
Name: Stanford Dyosini Road, Instruction: Turn left onto Stanford Dyosini Road, Distance: 253.4 meters, Time: 182.4 seconds
Name: Njoli Avenue, Instruction: Keep right onto Njoli Avenue, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 225.2 meters, Time: 162.1 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Keep left, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn slight right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: Bluegum Street, Instruction: Turn right onto Bluegum Street, Distance: 518.6 meters, Time: 373.4 seconds
Name: Geelhout Road, Instruction: Turn left onto Geelhout Road, Distance: 142.1 meters, Time: 102.3 seconds
Name: Hardepeer Road, Instruction: Turn right onto Hardepeer Road, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 98.2 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 210.9 meters, Time: 151.8 seconds
Name: Honeysuckle Street, Instruction: Turn left onto Honeysuckle Street, Distance: 112.5 meters, Time: 81.0 seconds
Name: Jakkalsvlei Avenue, Instruction: Turn right onto Jakkalsvlei Avenue, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 46.2 meters, Time: 33.3 seconds
Name: Jakkalsvlei Avenue, Instruction: Turn right onto Jakkalsvlei Avenue, Distance: 583.4 meters, Time: 420.0 seconds
Name: -, Instruction: Arrive at Jakkalsvlei Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
