Name: Elliott Road, Instruction: Head north on Elliott Road, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 180.8 meters, Time: 130.2 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 206.8 meters, Time: 148.9 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn left, Distance: 151.1 meters, Time: 108.8 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: Mowll Street, Instruction: Turn left onto Mowll Street, Distance: 7.6 meters, Time: 5.5 seconds
Name: Hackford Road, Instruction: Turn right onto Hackford Road, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 112.2 meters, Time: 80.7 seconds
Name: South Island Place, Instruction: Turn left onto South Island Place, Distance: 9.6 meters, Time: 6.9 seconds
Name: Clapham Road, A3, Instruction: Turn left onto Clapham Road, A3, Distance: 25.0 meters, Time: 18.0 seconds
Name: Dorset Road, Instruction: Turn right onto Dorset Road, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 366.0 meters, Time: 263.5 seconds
Name: Meadow Road, Instruction: Turn right onto Meadow Road, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Arrive at Meadow Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
