Name: Vallejo Street, Instruction: Head south on Vallejo Street, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 126.9 meters, Time: 91.4 seconds
Name: -, Instruction: Turn right, Distance: 120.6 meters, Time: 86.9 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Keep right, Distance: 244.5 meters, Time: 176.0 seconds
Name: -, Instruction: Keep right, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Keep right, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Keep right, Distance: 10.9 meters, Time: 7.8 seconds
Name: Quieto Court, Instruction: Turn right onto Quieto Court, Distance: 3.8 meters, Time: 2.7 seconds
Name: West 44th Avenue, Instruction: Turn left onto West 44th Avenue, Distance: 232.2 meters, Time: 167.2 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn slight right, Distance: 105.3 meters, Time: 75.8 seconds
Name: -, Instruction: Turn left, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
