Name: Sir John Jamison Circuit, Instruction: Head south on Sir John Jamison Circuit, Distance: 168.0 meters, Time: 121.0 seconds
Name: Willmott Place, Instruction: Turn left onto Willmott Place, Distance: 137.2 meters, Time: 98.8 seconds
Name: The Carriageway, Instruction: Turn left onto The Carriageway, Distance: 98.7 meters, Time: 71.1 seconds
Name: The Carriageway, Instruction: Enter the roundabout and take the 1st exit onto The Carriageway, Distance: 208.2 meters, Time: 149.9 seconds
Name: Harriett Close, Instruction: Turn left onto Harriett Close, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 444.4 meters, Time: 320.0 seconds
Name: Prunus Close, Instruction: Turn right onto Prunus Close, Distance: 61.7 meters, Time: 44.4 seconds
Name: Veronica Place, Instruction: Turn left onto Veronica Place, Distance: 106.6 meters, Time: 76.7 seconds
Name: -, Instruction: Continue straight, Distance: 111.7 meters, Time: 80.4 seconds
Name: Candlebark Circuit, Instruction: Turn left onto Candlebark Circuit, Distance: 73.0 meters, Time: 52.6 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 118.9 meters, Time: 85.6 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 226.4 meters, Time: 163.0 seconds
Name: -, Instruction: Turn left, Distance: 240.4 meters, Time: 173.1 seconds
Name: Fairywren Close, Instruction: Turn left onto Fairywren Close, Distance: 70.4 meters, Time: 50.7 seconds
Name: Woodlands Drive, Instruction: Turn left onto Woodlands Drive, Distance: 216.6 meters, Time: 155.9 seconds
Name: -, Instruction: Arrive at Woodlands Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
