Name: Racecourse Road, Instruction: Head northwest on Racecourse Road, Distance: 409.4 meters, Time: 294.7 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.1 seconds
Name: -, Instruction: Turn left, Distance: 127.6 meters, Time: 91.9 seconds
Name: Koeberg Service Road, Instruction: Turn slight left onto Koeberg Service Road, Distance: 530.9 meters, Time: 382.2 seconds
Name: Koeberg Service Road, Instruction: Turn slight left onto Koeberg Service Road, Distance: 527.2 meters, Time: 379.6 seconds
Name: -, Instruction: Keep left, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Turn right, Distance: 468.8 meters, Time: 337.5 seconds
Name: -, Instruction: Turn slight right, Distance: 50.8 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Broad Road, Instruction: Turn right onto Broad Road, Distance: 75.9 meters, Time: 54.7 seconds
Name: -, Instruction: Arrive at Broad Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
