Name: Place du Petit Pont, Instruction: Head north on Place du Petit Pont, Distance: 37.3 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Keep left, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 48.4 meters, Time: 34.9 seconds
Name: -, Instruction: Turn slight left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 48.4 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 239.0 meters, Time: 172.1 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: Allée Waslaw Nijinsky, Instruction: Continue straight onto Allée Waslaw Nijinsky, Distance: 14.1 meters, Time: 10.1 seconds
Name: Allée Waslaw Nijinsky, Instruction: Turn right onto Allée Waslaw Nijinsky, Distance: 44.4 meters, Time: 32.0 seconds
Name: Allée Waslaw Nijinsky, Instruction: Turn left onto Allée Waslaw Nijinsky, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn slight left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn slight right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Keep right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: Rue Saint-Denis, Instruction: Turn right onto Rue Saint-Denis, Distance: 105.7 meters, Time: 76.1 seconds
Name: Rue Saint-Denis, Instruction: Keep left onto Rue Saint-Denis, Distance: 53.5 meters, Time: 38.5 seconds
Name: Rue Saint-Denis, Instruction: Continue straight onto Rue Saint-Denis, Distance: 234.6 meters, Time: 168.9 seconds
Name: Rue Saint-Denis, Instruction: Continue straight onto Rue Saint-Denis, Distance: 175.2 meters, Time: 126.1 seconds
Name: -, Instruction: Continue straight, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue Saint-Denis, Instruction: Turn slight left onto Rue Saint-Denis, Distance: 675.8 meters, Time: 486.5 seconds
Name: Boulevard de Bonne Nouvelle, Instruction: Turn left onto Boulevard de Bonne Nouvelle, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Porte Saint-Denis, Instruction: Turn sharp right onto Porte Saint-Denis, Distance: 35.3 meters, Time: 25.4 seconds
Name: Rue du Faubourg Saint-Denis, Instruction: Turn left onto Rue du Faubourg Saint-Denis, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
