Name: Saherrstraße, Instruction: Head southeast on Saherrstraße, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn right, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Keep right, Distance: 89.0 meters, Time: 64.1 seconds
Name: Käpflstraße, Instruction: Turn slight right onto Käpflstraße, Distance: 48.4 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 90.0 meters, Time: 64.8 seconds
Name: Senftenauerweg, Instruction: Turn sharp right onto Senftenauerweg, Distance: 196.5 meters, Time: 141.5 seconds
Name: Maenherstraße, Instruction: Turn right onto Maenherstraße, Distance: 323.9 meters, Time: 233.2 seconds
Name: Schröfelhofstraße, Instruction: Turn left onto Schröfelhofstraße, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn slight right, Distance: 163.8 meters, Time: 118.0 seconds
Name: -, Instruction: Keep left, Distance: 139.7 meters, Time: 100.5 seconds
Name: -, Instruction: Keep right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn slight left, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.1 seconds
Name: -, Instruction: Keep left, Distance: 330.2 meters, Time: 237.7 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Stiftsbogen, Instruction: Turn right onto Stiftsbogen, Distance: 291.7 meters, Time: 210.0 seconds
Name: -, Instruction: Turn right, Distance: 123.7 meters, Time: 89.1 seconds
Name: -, Instruction: Turn left, Distance: 76.6 meters, Time: 55.2 seconds
Name: -, Instruction: Turn slight left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
