Name: Alte Heide, Instruction: Head southwest on Alte Heide, Distance: 54.5 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 58.5 meters, Time: 42.1 seconds
Name: Fröttmaninger Straße, Instruction: Turn left onto Fröttmaninger Straße, Distance: 119.4 meters, Time: 86.0 seconds
Name: -, Instruction: Turn right, Distance: 45.0 meters, Time: 32.4 seconds
Name: Guerickestraße, Instruction: Turn right onto Guerickestraße, Distance: 102.4 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn right, Distance: 283.9 meters, Time: 204.4 seconds
Name: Isarring, Instruction: Turn left onto Isarring, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 94.8 meters, Time: 68.3 seconds
Name: Hollandstraße, Instruction: Turn left onto Hollandstraße, Distance: 435.4 meters, Time: 313.5 seconds
Name: Stengelstraße, Instruction: Continue straight onto Stengelstraße, Distance: 19.4 meters, Time: 14.0 seconds
Name: Biedersteiner Straße, Instruction: Continue straight onto Biedersteiner Straße, Distance: 232.3 meters, Time: 167.3 seconds
Name: Mannlichstraße, Instruction: Turn left onto Mannlichstraße, Distance: 42.8 meters, Time: 30.8 seconds
Name: Mannlichstraße, Instruction: Turn slight left onto Mannlichstraße, Distance: 59.7 meters, Time: 43.0 seconds
Name: Mannlichstraße, Instruction: Keep left onto Mannlichstraße, Distance: 160.4 meters, Time: 115.5 seconds
Name: -, Instruction: Turn right, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
