Name: 5th Street, Instruction: Head north on 5th Street, Distance: 148.1 meters, Time: 106.6 seconds
Name: -, Instruction: Turn left, Distance: 80.9 meters, Time: 58.2 seconds
Name: 4th Street, Instruction: Turn right onto 4th Street, Distance: 17.6 meters, Time: 12.7 seconds
Name: Maitland Road, Instruction: Turn left onto Maitland Road, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 124.2 meters, Time: 89.4 seconds
Name: Emms Road, Instruction: Turn right onto Emms Road, Distance: 4.7 meters, Time: 3.4 seconds
Name: Fountain Road, Instruction: Turn left onto Fountain Road, Distance: 264.8 meters, Time: 190.6 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
