Name: Rue Couche, Instruction: Head northwest on Rue Couche, Distance: 105.3 meters, Time: 75.8 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Keep right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Rue de Bigorre, Instruction: Keep left onto Rue de Bigorre, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight left, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.7 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Keep left, Distance: 21.9 meters, Time: 15.7 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: Rue Sophie Germain, Instruction: Turn left onto Rue Sophie Germain, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at Rue Sophie Germain, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
