Name: Allée du Maquis, Instruction: Head west on Allée du Maquis, Distance: 50.7 meters, Time: 36.5 seconds
Name: Allée du Calvaire, Instruction: Turn left onto Allée du Calvaire, Distance: 140.4 meters, Time: 101.1 seconds
Name: Allée du Four, Instruction: Turn left onto Allée du Four, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 197.2 meters, Time: 142.0 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight right, Distance: 117.8 meters, Time: 84.8 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn slight right, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue Georges de Porto-Riche, Instruction: Turn right onto Rue Georges de Porto-Riche, Distance: 6.4 meters, Time: 4.6 seconds
Name: Rue Le Brix et Mesmin, Instruction: Turn left onto Rue Le Brix et Mesmin, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn right, Distance: 446.5 meters, Time: 321.4 seconds
Name: -, Instruction: Turn slight left, Distance: 292.7 meters, Time: 210.7 seconds
Name: -, Instruction: Turn right, Distance: 61.9 meters, Time: 44.6 seconds
Name: -, Instruction: Turn left, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
