Name: Englemount Avenue, Instruction: Head north on Englemount Avenue, Distance: 552.7 meters, Time: 397.9 seconds
Name: -, Instruction: Turn left, Distance: 240.6 meters, Time: 173.2 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 87.8 meters, Time: 63.2 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: Replin Road, Instruction: Turn slight right onto Replin Road, Distance: 57.4 meters, Time: 41.3 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: Replin Road, Instruction: Turn right onto Replin Road, Distance: 237.6 meters, Time: 171.0 seconds
Name: Flemington Road, Instruction: Turn left onto Flemington Road, Distance: 275.5 meters, Time: 198.4 seconds
Name: Amaranth Court, Instruction: Turn right onto Amaranth Court, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
