Name: Ladies Mile, Instruction: Head southwest on Ladies Mile, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Turn slight right, Distance: 7.3 meters, Time: 5.2 seconds
Name: Onepu Lane, Instruction: Turn left onto Onepu Lane, Distance: 309.1 meters, Time: 222.5 seconds
Name: Onepu Lane, Instruction: Keep left onto Onepu Lane, Distance: 19.2 meters, Time: 13.8 seconds
Name: Onepu Lane, Instruction: Keep left onto Onepu Lane, Distance: 9.0 meters, Time: 6.5 seconds
Name: Onepu Lane, Instruction: Keep right onto Onepu Lane, Distance: 19.4 meters, Time: 14.0 seconds
Name: Polkinghorne Drive, Instruction: Turn slight left onto Polkinghorne Drive, Distance: 452.2 meters, Time: 325.6 seconds
Name: Stanmore Bay Road, Instruction: Turn right onto Stanmore Bay Road, Distance: 14.9 meters, Time: 10.7 seconds
Name: Delshaw Avenue, Instruction: Turn left onto Delshaw Avenue, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 389.2 meters, Time: 280.2 seconds
Name: -, Instruction: Turn slight left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 229.9 meters, Time: 165.5 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 415.1 meters, Time: 298.9 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 102.7 meters, Time: 73.9 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn right, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
