Name: Rue Lecourbe, Instruction: Head west on Rue Lecourbe, Distance: 0.8 meters, Time: 0.6 seconds
Name: Rue Théophraste Renaudot, Instruction: Turn right onto Rue Théophraste Renaudot, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 179.4 meters, Time: 129.1 seconds
Name: -, Instruction: Turn slight left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 134.5 meters, Time: 96.8 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn slight left, Distance: 288.9 meters, Time: 208.0 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Turn left, Distance: 766.3 meters, Time: 551.7 seconds
Name: -, Instruction: Turn slight right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 172.4 meters, Time: 124.1 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn slight left, Distance: 101.5 meters, Time: 73.1 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: Avenue du Général Mangin, Instruction: Keep left onto Avenue du Général Mangin, Distance: 11.8 meters, Time: 8.5 seconds
Name: Avenue du Général Mangin, Instruction: Continue straight onto Avenue du Général Mangin, Distance: 103.0 meters, Time: 74.1 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 64.8 meters, Time: 46.7 seconds
Name: Rue Berton, Instruction: Turn sharp right onto Rue Berton, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Arrive at Rue Berton, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
