Name: Racecourse Road, Instruction: Head northwest on Racecourse Road, Distance: 409.4 meters, Time: 294.7 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.1 seconds
Name: -, Instruction: Turn left, Distance: 127.6 meters, Time: 91.9 seconds
Name: Koeberg Service Road, Instruction: Turn slight left onto Koeberg Service Road, Distance: 530.9 meters, Time: 382.2 seconds
Name: Koeberg Service Road, Instruction: Turn slight left onto Koeberg Service Road, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 612.4 meters, Time: 440.9 seconds
Name: -, Instruction: Turn left, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Turn left, Distance: 214.2 meters, Time: 154.2 seconds
Name: -, Instruction: Turn slight left, Distance: 295.8 meters, Time: 213.0 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: Corsair Road, Instruction: Turn right onto Corsair Road, Distance: 202.5 meters, Time: 145.8 seconds
Name: -, Instruction: Arrive at Corsair Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
