Name: Frost Lane, Instruction: Head east on Frost Lane, Distance: 326.3 meters, Time: 235.0 seconds
Name: Priam Street, Instruction: Turn right onto Priam Street, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 431.6 meters, Time: 310.8 seconds
Name: -, Instruction: Turn right, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Keep left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 681.4 meters, Time: 490.6 seconds
Name: -, Instruction: Turn left, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
