Name: Rua Arará, Instruction: Head west on Rua Arará, Distance: 340.0 meters, Time: 244.8 seconds
Name: -, Instruction: Turn left, Distance: 91.9 meters, Time: 66.2 seconds
Name: Rua Rio Grande do Norte, Instruction: Turn left onto Rua Rio Grande do Norte, Distance: 81.0 meters, Time: 58.3 seconds
Name: Rua Leopoldo Bulhões, Instruction: Turn right onto Rua Leopoldo Bulhões, Distance: 508.1 meters, Time: 365.8 seconds
Name: Rua Madiba, Instruction: Turn right onto Rua Madiba, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 81.9 meters, Time: 58.9 seconds
Name: -, Instruction: Continue straight, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 40.8 meters, Time: 29.4 seconds
Name: Rua Leopoldo Bulhões, Instruction: Turn right onto Rua Leopoldo Bulhões, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 182.3 meters, Time: 131.3 seconds
Name: Rua Leopoldo Bulhões, Instruction: Turn left onto Rua Leopoldo Bulhões, Distance: 39.8 meters, Time: 28.7 seconds
Name: Rua Maravilha, Instruction: Turn left onto Rua Maravilha, Distance: 151.2 meters, Time: 108.8 seconds
Name: Rua Amaral, Instruction: Keep left onto Rua Amaral, Distance: 226.6 meters, Time: 163.2 seconds
Name: Avenida dos Democráticos, Instruction: Turn right onto Avenida dos Democráticos, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.7 seconds
Name: Avenida dos Democráticos, Instruction: Turn slight left onto Avenida dos Democráticos, Distance: 226.2 meters, Time: 162.8 seconds
Name: Rua Vila Jardim, Instruction: Turn left onto Rua Vila Jardim, Distance: 72.8 meters, Time: 52.4 seconds
Name: Rua Espírito Santo, Instruction: Turn right onto Rua Espírito Santo, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Arrive at Rua Espírito Santo, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
