Name: Rue Rébeval, Instruction: Head southwest on Rue Rébeval, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 98.8 meters, Time: 71.1 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: Rue Jules Romains, Instruction: Turn left onto Rue Jules Romains, Distance: 21.5 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.5 seconds
Name: -, Instruction: Continue straight, Distance: 4.4 meters, Time: 3.2 seconds
Name: Rue Hector Guimard, Instruction: Turn right onto Rue Hector Guimard, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: Rue Hector Guimard, Instruction: Turn left onto Rue Hector Guimard, Distance: 8.0 meters, Time: 5.8 seconds
Name: Rue Hector Guimard, Instruction: Turn right onto Rue Hector Guimard, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 323.8 meters, Time: 233.2 seconds
Name: -, Instruction: Turn left, Distance: 139.3 meters, Time: 100.3 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: Rue du Faubourg du Temple, Instruction: Turn right onto Rue du Faubourg du Temple, Distance: 120.8 meters, Time: 86.9 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
