Name: Lower River Street, Instruction: Head southeast on Lower River Street, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 269.7 meters, Time: 194.2 seconds
Name: East Don Roadway, Instruction: Turn left onto East Don Roadway, Distance: 88.7 meters, Time: 63.9 seconds
Name: Thompson Street, Instruction: Turn right onto Thompson Street, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn left, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Keep left, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: Kintyre Avenue, Instruction: Turn right onto Kintyre Avenue, Distance: 10.2 meters, Time: 7.3 seconds
Name: Peggy Ann Smith Lane, Instruction: Turn left onto Peggy Ann Smith Lane, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 185.9 meters, Time: 133.9 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 116.4 meters, Time: 83.8 seconds
Name: -, Instruction: Turn right, Distance: 114.1 meters, Time: 82.1 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
