Name: Avenida Pasteur, Instruction: Head southeast on Avenida Pasteur, Distance: 160.8 meters, Time: 115.8 seconds
Name: Rua General Severiano, Instruction: Keep right onto Rua General Severiano, Distance: 335.3 meters, Time: 241.4 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.5 seconds
Name: Avenida Venceslau Braz, Instruction: Turn right onto Avenida Venceslau Braz, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 90.6 meters, Time: 65.2 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: Avenida Venceslau Braz, Instruction: Turn right onto Avenida Venceslau Braz, Distance: 17.6 meters, Time: 12.7 seconds
Name: Rua Lauro Müller, Instruction: Keep left onto Rua Lauro Müller, Distance: 150.1 meters, Time: 108.0 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: Rua Lauro Müller, Instruction: Turn right onto Rua Lauro Müller, Distance: 250.8 meters, Time: 180.6 seconds
Name: Avenida Lauro Sodré, Instruction: Turn slight left onto Avenida Lauro Sodré, Distance: 547.3 meters, Time: 394.0 seconds
Name: -, Instruction: Arrive at Avenida Lauro Sodré, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
