Name: Bukit Batok West Avenue 8, Instruction: Head southeast on Bukit Batok West Avenue 8, Distance: 451.5 meters, Time: 325.1 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 192.9 meters, Time: 138.9 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Keep left, Distance: 280.7 meters, Time: 202.1 seconds
Name: -, Instruction: Turn right, Distance: 115.7 meters, Time: 83.3 seconds
Name: Bukit Batok Park Connector, Instruction: Turn right onto Bukit Batok Park Connector, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 35.8 meters, Time: 25.8 seconds
Name: -, Instruction: Turn right, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: Bukit Batok Central Link, Instruction: Turn left onto Bukit Batok Central Link, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn slight right, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Bukit Batok Central, Instruction: Turn slight right onto Bukit Batok Central, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Continue straight, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
