Name: Rua Coríntios, Instruction: Head northeast on Rua Coríntios, Distance: 128.6 meters, Time: 92.6 seconds
Name: Rua Irmã Joana Chantal, Instruction: Turn left onto Rua Irmã Joana Chantal, Distance: 7.9 meters, Time: 5.7 seconds
Name: Rua Santo Ambrósio, Instruction: Turn right onto Rua Santo Ambrósio, Distance: 60.4 meters, Time: 43.5 seconds
Name: Rua Dênis, Instruction: Keep right onto Rua Dênis, Distance: 172.8 meters, Time: 124.4 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 50.6 meters, Time: 36.4 seconds
Name: Rua Jacupema, Instruction: Turn slight left onto Rua Jacupema, Distance: 58.9 meters, Time: 42.4 seconds
Name: Estrada da Penha, Instruction: Turn slight left onto Estrada da Penha, Distance: 377.3 meters, Time: 271.7 seconds
Name: Largo da Penha, Instruction: Keep right onto Largo da Penha, Distance: 52.3 meters, Time: 37.6 seconds
Name: Largo da Penha, Instruction: Turn sharp left onto Largo da Penha, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: Largo da Penha, Instruction: Turn right onto Largo da Penha, Distance: 15.2 meters, Time: 11.0 seconds
Name: Rua dos Romeiros, Instruction: Turn left onto Rua dos Romeiros, Distance: 206.1 meters, Time: 148.4 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Rua Nicarágua, Instruction: Turn right onto Rua Nicarágua, Distance: 14.5 meters, Time: 10.4 seconds
Name: Rua Montevidéu, Instruction: Turn left onto Rua Montevidéu, Distance: 362.3 meters, Time: 260.9 seconds
Name: -, Instruction: Turn left, Distance: 57.6 meters, Time: 41.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
