Name: 2nd Street, Instruction: Head west on 2nd Street, Distance: 170.2 meters, Time: 122.6 seconds
Name: 5th Avenue, Instruction: Turn right onto 5th Avenue, Distance: 161.1 meters, Time: 116.0 seconds
Name: 5th Street, Instruction: Turn left onto 5th Street, Distance: 368.6 meters, Time: 265.4 seconds
Name: -, Instruction: Turn left, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 139.9 meters, Time: 100.7 seconds
Name: Bodmin Street, Instruction: Turn left onto Bodmin Street, Distance: 15.3 meters, Time: 11.0 seconds
Name: Royal Road, Instruction: Turn sharp right onto Royal Road, Distance: 242.3 meters, Time: 174.4 seconds
Name: 1st Avenue, Instruction: Turn left onto 1st Avenue, Distance: 260.1 meters, Time: 187.3 seconds
Name: Voortrekker Road, R102, Instruction: Turn right onto Voortrekker Road, R102, Distance: 12.1 meters, Time: 8.7 seconds
Name: Prestige Drive, Instruction: Turn left onto Prestige Drive, Distance: 591.6 meters, Time: 425.9 seconds
Name: Prestige Drive, Instruction: Keep left onto Prestige Drive, Distance: 18.7 meters, Time: 13.5 seconds
Name: Avonduur Road, Instruction: Enter the roundabout and take the 3rd exit onto Avonduur Road, Distance: 227.4 meters, Time: 163.7 seconds
Name: -, Instruction: Keep right, Distance: 75.8 meters, Time: 54.6 seconds
Name: Morningside Road, Instruction: Turn slight left onto Morningside Road, Distance: 57.7 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 152.5 meters, Time: 109.8 seconds
Name: -, Instruction: Keep left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Keep left, Distance: 69.4 meters, Time: 50.0 seconds
Name: New Mill Road, Instruction: Turn left onto New Mill Road, Distance: 12.2 meters, Time: 8.8 seconds
Name: New Mill Road, Instruction: Keep right onto New Mill Road, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Keep right, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Turn right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 23.7 meters, Time: 17.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
