Name: Holborne Avenue, Instruction: Head east on Holborne Avenue, Distance: 406.4 meters, Time: 292.6 seconds
Name: -, Instruction: Turn right, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn left, Distance: 72.2 meters, Time: 52.0 seconds
Name: -, Instruction: Turn right, Distance: 162.7 meters, Time: 117.1 seconds
Name: -, Instruction: Turn slight left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Keep right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Keep right, Distance: 9.5 meters, Time: 6.8 seconds
Name: Cedarvale Avenue, Instruction: Turn right onto Cedarvale Avenue, Distance: 80.1 meters, Time: 57.6 seconds
Name: Carruthers Lane, Instruction: Turn left onto Carruthers Lane, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 638.2 meters, Time: 459.5 seconds
Name: -, Instruction: Turn left, Distance: 209.6 meters, Time: 150.9 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
