Name: Cairo New Road, Instruction: Head north on Cairo New Road, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Lower Church Street, Instruction: Turn right onto Lower Church Street, Distance: 13.0 meters, Time: 9.4 seconds
Name: Bourne Street, Instruction: Turn left onto Bourne Street, Distance: 150.4 meters, Time: 108.3 seconds
Name: Waddon New Road, Instruction: Turn left onto Waddon New Road, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn right, Distance: 85.5 meters, Time: 61.6 seconds
Name: -, Instruction: Turn left, Distance: 190.1 meters, Time: 136.9 seconds
Name: -, Instruction: Keep left, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn slight left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 183.7 meters, Time: 132.3 seconds
Name: Whitestone Way, Instruction: Turn right onto Whitestone Way, Distance: 161.1 meters, Time: 116.0 seconds
Name: Turners Way, Instruction: Continue straight onto Turners Way, Distance: 30.9 meters, Time: 22.2 seconds
Name: Drury Crescent, Instruction: Turn slight right onto Drury Crescent, Distance: 134.3 meters, Time: 96.7 seconds
Name: Trafalgar Way, Instruction: Turn left onto Trafalgar Way, Distance: 43.4 meters, Time: 31.3 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 85.0 meters, Time: 61.2 seconds
Name: Purley Way, A23, Instruction: Turn right onto Purley Way, A23, Distance: 122.2 meters, Time: 88.0 seconds
Name: Waddon Marsh Way, Instruction: Keep left onto Waddon Marsh Way, Distance: 414.8 meters, Time: 298.6 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
