Name: Tissot Road, Instruction: Head south on Tissot Road, Distance: 131.9 meters, Time: 94.9 seconds
Name: Tralee Road, Instruction: Turn right onto Tralee Road, Distance: 495.4 meters, Time: 356.7 seconds
Name: Austel Road, Instruction: Turn left onto Austel Road, Distance: 184.2 meters, Time: 132.6 seconds
Name: -, Instruction: Turn left, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: Silverhurst Way, Instruction: Turn left onto Silverhurst Way, Distance: 311.1 meters, Time: 224.0 seconds
Name: -, Instruction: Turn left, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Turn slight right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 456.9 meters, Time: 329.0 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Keep right, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
