Name: Manor Lane, Instruction: Head north on Manor Lane, Distance: 37.4 meters, Time: 27.0 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Keep left, Distance: 244.8 meters, Time: 176.3 seconds
Name: -, Instruction: Turn left, Distance: 80.8 meters, Time: 58.2 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: Old Road, Instruction: Turn right onto Old Road, Distance: 140.3 meters, Time: 101.0 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.1 seconds
Name: Lenham Road, Instruction: Turn left onto Lenham Road, Distance: 676.7 meters, Time: 487.2 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 323.6 meters, Time: 232.9 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 268.2 meters, Time: 193.1 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: Prince of Wales Road, Instruction: Turn left onto Prince of Wales Road, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 321.3 meters, Time: 231.4 seconds
Name: St Germans Place, Instruction: Turn right onto St Germans Place, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at St Germans Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
