Name: Woodlawn Avenue West, Instruction: Head east on Woodlawn Avenue West, Distance: 382.3 meters, Time: 275.2 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 375.5 meters, Time: 270.4 seconds
Name: -, Instruction: Turn left, Distance: 69.0 meters, Time: 49.7 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Turn left, Distance: 128.6 meters, Time: 92.6 seconds
Name: Mathersfield Drive, Instruction: Turn right onto Mathersfield Drive, Distance: 473.0 meters, Time: 340.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 142.7 meters, Time: 102.7 seconds
Name: -, Instruction: Keep left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
