Name: 徳丸槙の道, Instruction: Head north on 徳丸槙の道, Distance: 96.3 meters, Time: 69.4 seconds
Name: -, Instruction: Turn right, Distance: 215.2 meters, Time: 155.0 seconds
Name: -, Instruction: Turn left, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn right, Distance: 204.1 meters, Time: 147.0 seconds
Name: -, Instruction: Turn left, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn slight right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Keep right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 214.6 meters, Time: 154.5 seconds
Name: -, Instruction: Turn right, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 303.4 meters, Time: 218.4 seconds
Name: -, Instruction: Turn right, Distance: 95.9 meters, Time: 69.1 seconds
Name: -, Instruction: Turn left, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn right, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn left, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 89.9 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Keep left, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 213.1 meters, Time: 153.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
