Name: Avenida Arboledas, Instruction: Head southwest on Avenida Arboledas, Distance: 28.8 meters, Time: 20.8 seconds
Name: Calle Miramar, Instruction: Turn right onto Calle Miramar, Distance: 51.8 meters, Time: 37.3 seconds
Name: Calle Miravalle, Instruction: Turn right onto Calle Miravalle, Distance: 166.8 meters, Time: 120.1 seconds
Name: Calle Bellavista, Instruction: Turn left onto Calle Bellavista, Distance: 122.8 meters, Time: 88.4 seconds
Name: Privada San Diego, Instruction: Turn right onto Privada San Diego, Distance: 396.5 meters, Time: 285.5 seconds
Name: Camino Real al Ajusco, Instruction: Turn right onto Camino Real al Ajusco, Distance: 260.3 meters, Time: 187.4 seconds
Name: Camino Real al Ajusco, Instruction: Turn slight left onto Camino Real al Ajusco, Distance: 45.1 meters, Time: 32.5 seconds
Name: Calle Acueducto, Instruction: Turn slight left onto Calle Acueducto, Distance: 147.6 meters, Time: 106.3 seconds
Name: -, Instruction: Keep right, Distance: 74.8 meters, Time: 53.9 seconds
Name: Avenida Guadalupe I. Ramírez, Instruction: Turn right onto Avenida Guadalupe I. Ramírez, Distance: 87.2 meters, Time: 62.8 seconds
Name: Avenida Guadalupe I. Ramírez, Instruction: Continue straight onto Avenida Guadalupe I. Ramírez, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: Avenida Guadalupe I. Ramírez, Instruction: Turn right onto Avenida Guadalupe I. Ramírez, Distance: 165.7 meters, Time: 119.3 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: Avenida Guadalupe I. Ramírez, Instruction: Turn left onto Avenida Guadalupe I. Ramírez, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Arrive at Avenida Guadalupe I. Ramírez, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
