Name: West 36th Place, Instruction: Head north on West 36th Place, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Keep left, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: Winona Court, Instruction: Turn right onto Winona Court, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Turn left, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Turn right, Distance: 381.5 meters, Time: 274.7 seconds
Name: -, Instruction: Turn left, Distance: 140.6 meters, Time: 101.2 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
