Name: Hepburn Street, Instruction: Head south on Hepburn Street, Distance: 52.6 meters, Time: 37.8 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 188.7 meters, Time: 135.8 seconds
Name: -, Instruction: Keep right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Keep left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 66.9 meters, Time: 48.2 seconds
Name: -, Instruction: Keep right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 334.9 meters, Time: 241.1 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 181.5 meters, Time: 130.7 seconds
Name: -, Instruction: Turn slight left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn slight left, Distance: 260.4 meters, Time: 187.5 seconds
Name: -, Instruction: Turn slight right, Distance: 148.5 meters, Time: 106.9 seconds
Name: -, Instruction: Turn left, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Turn left, Distance: 252.5 meters, Time: 181.8 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: Mount Eden Road, Instruction: Turn right onto Mount Eden Road, Distance: 118.5 meters, Time: 85.3 seconds
Name: Enfield Street, Instruction: Turn sharp left onto Enfield Street, Distance: 49.2 meters, Time: 35.4 seconds
Name: Harold Street, Instruction: Turn right onto Harold Street, Distance: 111.1 meters, Time: 80.0 seconds
Name: Edwin Street, Instruction: Turn left onto Edwin Street, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Arrive at Edwin Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
