Name: Calle Medicina, Instruction: Head west on Calle Medicina, Distance: 181.3 meters, Time: 130.5 seconds
Name: Calle Odontología, Instruction: Continue straight onto Calle Odontología, Distance: 223.4 meters, Time: 160.9 seconds
Name: -, Instruction: Keep right, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 81.3 meters, Time: 58.5 seconds
Name: Circuito Escolar, Instruction: Turn right onto Circuito Escolar, Distance: 429.2 meters, Time: 309.0 seconds
Name: Circuito Escolar, Instruction: Continue straight onto Circuito Escolar, Distance: 204.1 meters, Time: 147.0 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 74.0 meters, Time: 53.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: Avenida Insurgentes Sur, Instruction: Turn right onto Avenida Insurgentes Sur, Distance: 90.8 meters, Time: 65.4 seconds
Name: -, Instruction: Keep right, Distance: 60.6 meters, Time: 43.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.8 meters, Time: 13.5 seconds
Name: Circuito Zona Deportiva, Instruction: Turn slight right onto Circuito Zona Deportiva, Distance: 36.0 meters, Time: 25.9 seconds
Name: Circuito Zona Deportiva, Instruction: Keep left onto Circuito Zona Deportiva, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 184.3 meters, Time: 132.7 seconds
Name: -, Instruction: Turn right, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
