Name: Wanita Place, Instruction: Head south on Wanita Place, Distance: 133.4 meters, Time: 96.0 seconds
Name: Girrahween Drive, Instruction: Turn left onto Girrahween Drive, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 120.2 meters, Time: 86.5 seconds
Name: -, Instruction: Keep right, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Keep left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight left, Distance: 266.1 meters, Time: 191.6 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 228.9 meters, Time: 164.8 seconds
Name: -, Instruction: Keep right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Saint Thomas More Lane, Instruction: Turn left onto Saint Thomas More Lane, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
