Name: Beach Road, Instruction: Head west on Beach Road, Distance: 112.6 meters, Time: 81.1 seconds
Name: Ronald Avenue, Instruction: Turn right onto Ronald Avenue, Distance: 530.1 meters, Time: 381.7 seconds
Name: Hill Road, Instruction: Turn slight right onto Hill Road, Distance: 104.5 meters, Time: 75.3 seconds
Name: Hill Road, Instruction: Keep left onto Hill Road, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn slight left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Keep right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight right, Distance: 6.5 meters, Time: 4.7 seconds
Name: Dame Nganeko Drive, Instruction: Keep left onto Dame Nganeko Drive, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Opouatu Avenue, Instruction: Turn right onto Opouatu Avenue, Distance: 267.0 meters, Time: 192.3 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
