Name: Rue Pinel, Instruction: Head southeast on Rue Pinel, Distance: 110.7 meters, Time: 79.7 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 215.4 meters, Time: 155.0 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Keep left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Keep right, Distance: 159.5 meters, Time: 114.8 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 356.5 meters, Time: 256.7 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Keep right, Distance: 183.8 meters, Time: 132.3 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 173.7 meters, Time: 125.0 seconds
Name: -, Instruction: Turn left, Distance: 288.7 meters, Time: 207.9 seconds
Name: -, Instruction: Keep right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Keep right, Distance: 20.8 meters, Time: 14.9 seconds
Name: Place du Bataillon du Pacifique, Instruction: Turn right onto Place du Bataillon du Pacifique, Distance: 28.6 meters, Time: 20.6 seconds
Name: Rue de Chambertin, Instruction: Turn left onto Rue de Chambertin, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Keep right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep right, Distance: 126.5 meters, Time: 91.1 seconds
Name: -, Instruction: Turn left, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 422.5 meters, Time: 304.2 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 63.8 meters, Time: 46.0 seconds
Name: Boulevard de Bercy, Instruction: Turn left onto Boulevard de Bercy, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
