Name: Germersheimer Straße, Instruction: Head southeast on Germersheimer Straße, Distance: 118.0 meters, Time: 85.0 seconds
Name: Sankt-Ingbert-Straße, Instruction: Turn left onto Sankt-Ingbert-Straße, Distance: 136.4 meters, Time: 98.2 seconds
Name: -, Instruction: Turn right, Distance: 114.4 meters, Time: 82.4 seconds
Name: Balanstraße, Instruction: Keep left onto Balanstraße, Distance: 31.0 meters, Time: 22.3 seconds
Name: Balanstraße, Instruction: Turn left onto Balanstraße, Distance: 807.8 meters, Time: 581.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight right, Distance: 122.2 meters, Time: 88.0 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 296.0 meters, Time: 213.1 seconds
Name: Balanstraße, Instruction: Turn left onto Balanstraße, Distance: 6.5 meters, Time: 4.7 seconds
Name: Balanstraße, Instruction: Turn right onto Balanstraße, Distance: 26.8 meters, Time: 19.3 seconds
Name: Balanstraße, Instruction: Turn slight right onto Balanstraße, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn slight left, Distance: 215.4 meters, Time: 155.1 seconds
Name: Puechbergerstraße, Instruction: Turn left onto Puechbergerstraße, Distance: 256.7 meters, Time: 184.8 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 87.0 meters, Time: 62.6 seconds
Name: Görzer Straße, Instruction: Turn right onto Görzer Straße, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 130.2 meters, Time: 93.7 seconds
Name: -, Instruction: Turn left, Distance: 20.0 meters, Time: 14.4 seconds
Name: Hochäckerstraße, Instruction: Turn left onto Hochäckerstraße, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Continue straight, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
