Name: Selwyn Road, Instruction: Head west on Selwyn Road, Distance: 157.2 meters, Time: 113.2 seconds
Name: Buckley Road, Instruction: Turn left onto Buckley Road, Distance: 380.3 meters, Time: 273.8 seconds
Name: Quentin Avenue, Instruction: Turn right onto Quentin Avenue, Distance: 271.5 meters, Time: 195.5 seconds
Name: Saint Andrews Road, Instruction: Turn right onto Saint Andrews Road, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 96.0 meters, Time: 69.1 seconds
Name: Queensway, Instruction: Turn left onto Queensway, Distance: 390.0 meters, Time: 280.8 seconds
Name: -, Instruction: Turn right, Distance: 97.4 meters, Time: 70.1 seconds
Name: Mount Eden Road, Instruction: Turn left onto Mount Eden Road, Distance: 12.9 meters, Time: 9.3 seconds
Name: Grahame Breed Drive, Instruction: Turn right onto Grahame Breed Drive, Distance: 223.7 meters, Time: 161.0 seconds
Name: -, Instruction: Turn left, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 56.8 meters, Time: 40.9 seconds
Name: Plaza Drive, Instruction: Turn left onto Plaza Drive, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Keep left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: Plaza Drive, Instruction: Turn slight left onto Plaza Drive, Distance: 31.2 meters, Time: 22.4 seconds
Name: -, Instruction: Turn right, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: Mount Albert Road, 10, Instruction: Turn left onto Mount Albert Road, 10, Distance: 6.1 meters, Time: 4.4 seconds
Name: Hayr Road, Instruction: Turn sharp right onto Hayr Road, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Arrive at Hayr Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
