Name: Quainton Street, Instruction: Head northeast on Quainton Street, Distance: 188.9 meters, Time: 136.0 seconds
Name: -, Instruction: Turn left, Distance: 217.9 meters, Time: 156.9 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn slight left, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 293.3 meters, Time: 211.2 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 205.4 meters, Time: 147.9 seconds
Name: Deanscroft Avenue, Instruction: Turn left onto Deanscroft Avenue, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 85.6 meters, Time: 61.6 seconds
Name: Dunster Drive, Instruction: Turn left onto Dunster Drive, Distance: 49.1 meters, Time: 35.3 seconds
Name: Dimsdale Drive, Instruction: Turn right onto Dimsdale Drive, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn right, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
