Name: Ampfingstraße, Instruction: Head south on Ampfingstraße, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 542.3 meters, Time: 390.4 seconds
Name: Friedenstraße, Instruction: Turn right onto Friedenstraße, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn slight left, Distance: 212.7 meters, Time: 153.2 seconds
Name: Orleansstraße, Instruction: Turn left onto Orleansstraße, Distance: 67.6 meters, Time: 48.7 seconds
Name: Orleansplatz, Instruction: Turn right onto Orleansplatz, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.8 seconds
Name: Weißenburger Straße, Instruction: Continue straight onto Weißenburger Straße, Distance: 174.3 meters, Time: 125.5 seconds
Name: -, Instruction: Continue straight, Distance: 1.8 meters, Time: 1.3 seconds
Name: Pariser Platz, Instruction: Turn left onto Pariser Platz, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: Pariser Straße, Instruction: Continue straight onto Pariser Straße, Distance: 272.2 meters, Time: 196.0 seconds
Name: Pariser Straße, Instruction: Turn slight right onto Pariser Straße, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
