Name: Passage des Argenteries, Instruction: Head south on Passage des Argenteries, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 52.3 meters, Time: 37.7 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 122.7 meters, Time: 88.4 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: Sentier de la Station, Instruction: Turn left onto Sentier de la Station, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 115.6 meters, Time: 83.2 seconds
Name: -, Instruction: Turn slight right, Distance: 34.7 meters, Time: 25.0 seconds
Name: Place de l'Argonne, Instruction: Turn left onto Place de l'Argonne, Distance: 41.9 meters, Time: 30.2 seconds
Name: Rue de l'Argonne, Instruction: Turn left onto Rue de l'Argonne, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: Rue Barbanègre, Instruction: Turn right onto Rue Barbanègre, Distance: 8.3 meters, Time: 6.0 seconds
Name: Passage des Voûtes, Instruction: Turn left onto Passage des Voûtes, Distance: 190.0 meters, Time: 136.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 4.9 seconds
Name: Quai de la Marne, Instruction: Turn right onto Quai de la Marne, Distance: 12.8 meters, Time: 9.2 seconds
Name: Rue des Ardennes, Instruction: Turn left onto Rue des Ardennes, Distance: 422.4 meters, Time: 304.1 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 147.7 meters, Time: 106.3 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: Rue de Lunéville, Instruction: Turn right onto Rue de Lunéville, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue Petit, Instruction: Turn left onto Rue Petit, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 144.3 meters, Time: 103.9 seconds
Name: -, Instruction: Turn right, Distance: 173.0 meters, Time: 124.5 seconds
Name: Allée Darius Milhaud, Instruction: Turn left onto Allée Darius Milhaud, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 144.8 meters, Time: 104.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
