Name: Tonar Street, Instruction: Head southeast on Tonar Street, Distance: 29.4 meters, Time: 21.2 seconds
Name: Koeke Road, Instruction: Turn right onto Koeke Road, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn left, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Turn right, Distance: 0.8 meters, Time: 0.5 seconds
Name: -, Instruction: Turn left, Distance: 62.4 meters, Time: 44.9 seconds
Name: Te Awataha Greenway, Instruction: Turn right onto Te Awataha Greenway, Distance: 295.6 meters, Time: 212.8 seconds
Name: Te Awataha Greenway, Instruction: Keep right onto Te Awataha Greenway, Distance: 69.0 meters, Time: 49.7 seconds
Name: Te Awataha Greenway, Instruction: Turn left onto Te Awataha Greenway, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn slight right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 12.3 meters, Time: 8.9 seconds
Name: College Road, Instruction: Turn right onto College Road, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 312.2 meters, Time: 224.7 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 105.9 meters, Time: 76.2 seconds
Name: Howard Road, Instruction: Turn right onto Howard Road, Distance: 37.1 meters, Time: 26.7 seconds
Name: Howard Road, Instruction: Continue straight onto Howard Road, Distance: 12.4 meters, Time: 8.9 seconds
Name: Sampson Lane, Instruction: Turn left onto Sampson Lane, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn left, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
