Name: Friedrich-Zahn-Straße, Instruction: Head east on Friedrich-Zahn-Straße, Distance: 126.5 meters, Time: 91.1 seconds
Name: Ganzenmüllerstraße, Instruction: Turn right onto Ganzenmüllerstraße, Distance: 427.1 meters, Time: 307.5 seconds
Name: -, Instruction: Keep right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Keep right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 171.2 meters, Time: 123.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 97.5 meters, Time: 70.2 seconds
Name: -, Instruction: Turn right, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Freseniusstraße, Instruction: Turn right onto Freseniusstraße, Distance: 375.6 meters, Time: 270.4 seconds
Name: Stöcklstraße, Instruction: Turn left onto Stöcklstraße, Distance: 74.8 meters, Time: 53.9 seconds
Name: Adelsbergstraße, Instruction: Turn right onto Adelsbergstraße, Distance: 294.3 meters, Time: 211.9 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 117.4 meters, Time: 84.6 seconds
Name: -, Instruction: Turn slight left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Keep right, Distance: 6.6 meters, Time: 4.8 seconds
Name: Döbereinerstraße, Instruction: Turn right onto Döbereinerstraße, Distance: 7.5 meters, Time: 5.4 seconds
Name: Reginbaldstraße, Instruction: Turn left onto Reginbaldstraße, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Arrive at Reginbaldstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
