Name: Glengowan Road, Instruction: Head west on Glengowan Road, Distance: 349.6 meters, Time: 251.7 seconds
Name: Blythwood Alta, Instruction: Turn right onto Blythwood Alta, Distance: 188.2 meters, Time: 135.5 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 123.5 meters, Time: 88.9 seconds
Name: -, Instruction: Turn slight right, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: St Edmund's Drive, Instruction: Turn left onto St Edmund's Drive, Distance: 850.0 meters, Time: 612.0 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 338.0 meters, Time: 243.4 seconds
Name: -, Instruction: Turn right, Distance: 76.3 meters, Time: 55.0 seconds
Name: -, Instruction: Turn right, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
