Name: Beaufort Drive, Instruction: Head northeast on Beaufort Drive, Distance: 4.1 meters, Time: 3.0 seconds
Name: Gloucester Drive, Instruction: Turn right onto Gloucester Drive, Distance: 164.2 meters, Time: 118.2 seconds
Name: -, Instruction: Turn right, Distance: 103.2 meters, Time: 74.3 seconds
Name: Brookland Rise, Instruction: Turn right onto Brookland Rise, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: Falloden Way, Instruction: Turn left onto Falloden Way, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 271.5 meters, Time: 195.5 seconds
Name: -, Instruction: Turn right, Distance: 172.4 meters, Time: 124.1 seconds
Name: -, Instruction: Turn left, Distance: 129.6 meters, Time: 93.3 seconds
Name: Thornton Way, Instruction: Continue straight onto Thornton Way, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Arrive at Thornton Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
