Name: Montgomery Avenue, Instruction: Head east on Montgomery Avenue, Distance: 5.0 meters, Time: 3.6 seconds
Name: Duplex Avenue, Instruction: Turn sharp right onto Duplex Avenue, Distance: 1275.3 meters, Time: 918.2 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 101.7 meters, Time: 73.2 seconds
Name: -, Instruction: Turn slight left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 95.3 meters, Time: 68.6 seconds
Name: Balliol Street, Instruction: Turn sharp left onto Balliol Street, Distance: 50.4 meters, Time: 36.3 seconds
Name: Al Green Lane, Instruction: Turn right onto Al Green Lane, Distance: 229.1 meters, Time: 165.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 151.3 meters, Time: 108.9 seconds
Name: -, Instruction: Keep left, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Keep right, Distance: 144.7 meters, Time: 104.2 seconds
Name: -, Instruction: Keep left, Distance: 129.9 meters, Time: 93.5 seconds
Name: -, Instruction: Keep right, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 117.6 meters, Time: 84.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
