Name: Salisbury Avenue, Instruction: Head west on Salisbury Avenue, Distance: 48.1 meters, Time: 34.6 seconds
Name: Edensmith Lane, Instruction: Turn right onto Edensmith Lane, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep left, Distance: 89.1 meters, Time: 64.1 seconds
Name: Prohibition Lane, Instruction: Turn right onto Prohibition Lane, Distance: 2.8 meters, Time: 2.0 seconds
Name: Amelia Street, Instruction: Turn left onto Amelia Street, Distance: 99.0 meters, Time: 71.3 seconds
Name: Iroquois Lane, Instruction: Turn right onto Iroquois Lane, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Keep left, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Keep left, Distance: 88.8 meters, Time: 63.9 seconds
Name: -, Instruction: Keep left, Distance: 243.0 meters, Time: 174.9 seconds
Name: -, Instruction: Turn left, Distance: 113.1 meters, Time: 81.4 seconds
Name: -, Instruction: Turn slight left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 408.1 meters, Time: 293.8 seconds
Name: -, Instruction: Turn right, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
