Name: Kibo Road, Instruction: Head west on Kibo Road, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 144.0 meters, Time: 103.7 seconds
Name: -, Instruction: Turn right, Distance: 413.5 meters, Time: 297.7 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 314.2 meters, Time: 226.2 seconds
Name: -, Instruction: Turn left, Distance: 77.5 meters, Time: 55.8 seconds
Name: Third Avenue, Instruction: Turn right onto Third Avenue, Distance: 8.9 meters, Time: 6.4 seconds
Name: Hyde Park Road, Instruction: Turn left onto Hyde Park Road, Distance: 72.5 meters, Time: 52.2 seconds
Name: Bathurst Street, Instruction: Turn right onto Bathurst Street, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Turn right, Distance: 199.0 meters, Time: 143.3 seconds
Name: -, Instruction: Turn slight right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 95.9 meters, Time: 69.0 seconds
Name: -, Instruction: Turn left, Distance: 128.4 meters, Time: 92.5 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.4 seconds
Name: Woodburn Road, Instruction: Turn left onto Woodburn Road, Distance: 72.7 meters, Time: 52.3 seconds
Name: Woodburn Road, Instruction: Keep right onto Woodburn Road, Distance: 6.2 meters, Time: 4.5 seconds
Name: Clarke Street, Instruction: Keep right onto Clarke Street, Distance: 6.3 meters, Time: 4.5 seconds
Name: Clarke Street, Instruction: Turn slight right onto Clarke Street, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Arrive at Clarke Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
