Name: Selway Avenue, Instruction: Head east on Selway Avenue, Distance: 163.7 meters, Time: 117.8 seconds
Name: McVicker Street, Instruction: Turn right onto McVicker Street, Distance: 94.0 meters, Time: 67.7 seconds
Name: Junction Road, Instruction: Turn left onto Junction Road, Distance: 75.8 meters, Time: 54.5 seconds
Name: Wilkes Avenue, Instruction: Turn right onto Wilkes Avenue, Distance: 299.6 meters, Time: 215.7 seconds
Name: Burton Avenue, Instruction: Turn left onto Burton Avenue, Distance: 138.8 meters, Time: 100.0 seconds
Name: -, Instruction: Turn right, Distance: 245.8 meters, Time: 177.0 seconds
Name: -, Instruction: Turn left, Distance: 252.7 meters, Time: 182.0 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Greenview Drive, Instruction: Turn right onto Greenview Drive, Distance: 128.8 meters, Time: 92.7 seconds
Name: Greenview Drive, Instruction: Keep right onto Greenview Drive, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
