Name: Burmesterstraße, Instruction: Head northeast on Burmesterstraße, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 115.8 meters, Time: 83.4 seconds
Name: Bauernfeindstraße, Instruction: Turn right onto Bauernfeindstraße, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Keep right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: Kieferngartenstraße, Instruction: Turn right onto Kieferngartenstraße, Distance: 93.9 meters, Time: 67.6 seconds
Name: Wirtsbreite, Instruction: Turn left onto Wirtsbreite, Distance: 344.2 meters, Time: 247.8 seconds
Name: -, Instruction: Continue straight, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Continue straight, Distance: 328.9 meters, Time: 236.8 seconds
Name: -, Instruction: Keep left, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Turn slight left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 66.4 meters, Time: 47.8 seconds
Name: Karl-Richter-Straße, Instruction: Turn right onto Karl-Richter-Straße, Distance: 10.6 meters, Time: 7.7 seconds
Name: Karl-Richter-Straße, Instruction: Keep left onto Karl-Richter-Straße, Distance: 3.9 meters, Time: 2.8 seconds
Name: Karl-Richter-Straße, Instruction: Turn right onto Karl-Richter-Straße, Distance: 41.9 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
