Name: شارع هدى سلطان, Instruction: Head southwest on شارع هدى سلطان, Distance: 42.1 meters, Time: 30.3 seconds
Name: شارع عمر خورشيد, Instruction: Turn left onto شارع عمر خورشيد, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn slight left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 42.8 meters, Time: 30.8 seconds
Name: شارع رمسيس الثاني, Instruction: Keep left onto شارع رمسيس الثاني, Distance: 74.7 meters, Time: 53.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.4 meters, Time: 9.7 seconds
Name: شارع رمسيس الثاني, Instruction: Turn left onto شارع رمسيس الثاني, Distance: 10.6 meters, Time: 7.7 seconds
Name: شارع رمسيس الثاني, Instruction: Continue straight onto شارع رمسيس الثاني, Distance: 85.0 meters, Time: 61.2 seconds
Name: شارع خوفو, Instruction: Keep right onto شارع خوفو, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.1 meters, Time: 8.7 seconds
Name: شارع خوفو, Instruction: Turn right onto شارع خوفو, Distance: 29.4 meters, Time: 21.1 seconds
Name: شارع سيتى الأول, Instruction: Turn left onto شارع سيتى الأول, Distance: 201.6 meters, Time: 145.2 seconds
Name: -, Instruction: Arrive at شارع سيتى الأول, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
