Name: Travessa Lopes, Instruction: Head north on Travessa Lopes, Distance: 116.5 meters, Time: 83.9 seconds
Name: Avenida Salvador de Sá, Instruction: Turn right onto Avenida Salvador de Sá, Distance: 274.7 meters, Time: 197.8 seconds
Name: Rua Frei Caneca, Instruction: Continue straight onto Rua Frei Caneca, Distance: 336.6 meters, Time: 242.4 seconds
Name: Rua Moncorvo Filho, Instruction: Keep left onto Rua Moncorvo Filho, Distance: 181.6 meters, Time: 130.7 seconds
Name: Rua Moncorvo Filho, Instruction: Keep right onto Rua Moncorvo Filho, Distance: 228.1 meters, Time: 164.2 seconds
Name: Rua Moncorvo Filho, Instruction: Keep right onto Rua Moncorvo Filho, Distance: 59.4 meters, Time: 42.7 seconds
Name: -, Instruction: Keep left, Distance: 36.4 meters, Time: 26.2 seconds
Name: -, Instruction: Continue straight, Distance: 167.6 meters, Time: 120.7 seconds
Name: -, Instruction: Keep left, Distance: 99.0 meters, Time: 71.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: Praça da República, Instruction: Turn right onto Praça da República, Distance: 6.8 meters, Time: 4.9 seconds
Name: Rua Buenos Aires, Instruction: Turn left onto Rua Buenos Aires, Distance: 109.9 meters, Time: 79.1 seconds
Name: Rua República do Líbano, Instruction: Turn right onto Rua República do Líbano, Distance: 147.8 meters, Time: 106.4 seconds
Name: -, Instruction: Turn left, Distance: 202.5 meters, Time: 145.8 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
