Name: An der Schäferwiese, Instruction: Head northeast on An der Schäferwiese, Distance: 101.9 meters, Time: 73.3 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn slight right, Distance: 28.7 meters, Time: 20.6 seconds
Name: -, Instruction: Turn slight left, Distance: 245.1 meters, Time: 176.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Alte Allee, Instruction: Turn sharp left onto Alte Allee, Distance: 5.6 meters, Time: 4.0 seconds
Name: Mooswiesenstraße, Instruction: Continue straight onto Mooswiesenstraße, Distance: 414.0 meters, Time: 298.1 seconds
Name: -, Instruction: Keep right, Distance: 243.7 meters, Time: 175.4 seconds
Name: -, Instruction: Turn left, Distance: 243.3 meters, Time: 175.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
