Name: Ständlerstraße, Instruction: Head west on Ständlerstraße, Distance: 78.0 meters, Time: 56.2 seconds
Name: Balanstraße, Instruction: Turn right onto Balanstraße, Distance: 26.8 meters, Time: 19.3 seconds
Name: Balanstraße, Instruction: Turn left onto Balanstraße, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 173.1 meters, Time: 124.6 seconds
Name: -, Instruction: Turn left, Distance: 339.7 meters, Time: 244.6 seconds
Name: Paulsdorfferstraße, Instruction: Turn right onto Paulsdorfferstraße, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Turn left, Distance: 232.7 meters, Time: 167.5 seconds
Name: -, Instruction: Keep left, Distance: 126.9 meters, Time: 91.4 seconds
Name: -, Instruction: Keep right, Distance: 60.2 meters, Time: 43.3 seconds
Name: Schwanseestraße, Instruction: Turn sharp right onto Schwanseestraße, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Arrive at Schwanseestraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
